,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 2: ميـزان المدفـوعــات,,Contd. 4 Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,Contd.4 Table 2: Balance of Payments,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,
(Million US$),,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,(مليون US$),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-01-01T00:00:00,2025-01-01T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,
1. Current account,88914.94838562545,103439.81734658866,102112.23042900395,144666.8856031087,25249.308829657202,71531.81317423993,162552.9182553741,171802.5376110573,141060.0995719153,77650.92763955473,-55044.50273715284,-26969.340111775124,9083.896317343248,70028.9335662437,32398.6235344862,-34687.75030715115,44905.2790850798,145336.71937857268,25948.092859194086,-16254.067643409098,-32736.46707071573,, 1 :  ميزان الحساب الجاري    ,,1. Current account,32299.27564884762,29509.172117954968,26301.35292983156,15330.016649954516,20030.418609777917,20772.090733593424,22570.432784421006,38739.2883012116,39369.982224076724,55827.62152983132,46034.800989819436,3434.480859381205,-4520.878043668106,673.9605965544829,9974.896656787592,19121.329619983233,18185.289837618897,13112.37224556988,16328.065963011433,23906.085128039726,37491.1464661722,39583.4721829615,39067.659424643294,46410.64018159709,49030.32140664036,41339.73942821186,39621.78153409984,41810.69524210522,32906.17572106633,29297.268238295223,39252.757049274194,39603.89856327957,28128.97761158,33262.31266906666,16751.210090628734,-491.57273172065226,-11650.272497611359,-7666.123114749062,-13719.47612051178,-22008.631004280636,-19882.70995603244,-7515.245266435708,4114.159814866974,-3685.5447041739535,4134.9525678527425,-6083.791356133977,5153.327897101911,5879.407208522573,9112.392138892303,19780.271231927265,25432.799248454277,15703.47094696985,12192.071725229516,10152.4395437953,5982.894822412561,4071.2174430488258,-5088.658590181187,-23428.739504249934,-3235.2967660648615,-2935.0554466551735,-389.5519543899417,6136.521166865378,16415.11037640814,22743.19949619622,40124.70236889962,40333.95635916775,46341.09937352636,18536.961276978927,12584.216932298415,9737.105535261751,3664.6150056088304,-37.84461397489649, 1 :  ميزان الحساب الجاري    ,,1. Current account,5803.83353315226,337.95149413746935,-9708.806917656528,-12687.045753042219,-2838.303605194351,-13440.861570198476,-8221.418112340234,-8235.883782982673,, 1 :  ميزان الحساب الجاري    ,,,,,,,,,,,,,,,,,,,,
1.A Goods and services,100861.98838562546,112208.55637929961,106678.46269792915,151092.49018326573,36903.77218159321,84744.9541073749,175810.0257252897,182351.865783637,155742.09601412312,93357.33822529178,-31701.042597547304,-2.640726817554484,35452.81760845237,102920.68896246044,60832.67223674255,-8476.234157131215,77357.70252069601,182493.7982286726,69635.39340068169,29736.97400994332,22162.950945255656,, 1. أ السلع والخدمات,,1.A Goods and services,34680.61084875785,31796.724003023162,28015.165584442853,17716.055943075746,21180.700677715988,21965.22749152175,23709.012330940426,39823.52219775099,41115.14702327818,56661.815224517966,48085.902598392095,5229.625337077505,-1982.9821593561715,3456.8506210279925,12337.323959154892,23092.57976076649,21424.587671927784,15888.035549338849,18947.929272941346,28484.40161316692,41019.21211405022,42532.565174118514,41977.187848210735,50281.060588910244,52606.28861774663,43886.82110813148,41387.55108976906,44471.204967989856,36778.70916103707,32582.34154752473,42714.95200078309,43666.093304778246,33008.76703985151,36011.67886199539,20210.30828915287,4126.584034292012,-3389.71669260571,-2826.885497660865,-10701.371559491894,-14783.068847788836,-11640.211646268412,-1234.040140828203,8445.602742983796,4426.008317295264,11104.367002934656,670.8305040494732,10888.59301485139,12789.027086616847,17859.411042372292,27305.752441921122,33336.27993667738,24419.24554148963,19140.926186678513,15995.082979925692,14391.451134119448,11305.211936018899,5441.787360768193,-14771.65679615474,1074.809010971163,-221.17373271582957,7219.233930138642,14449.23703564208,24198.97112806403,31490.260426851255,48599.90610520591,50093.17960913619,53004.47354788971,30796.238966440775,22141.484854649963,21083.673077879714,13606.726272085301,12803.509196066703, 1. أ السلع والخدمات,,1.A Goods and services,15442.267874822961,13622.725379998114,1778.0517367854752,-1106.0709816631472,10437.265915695361,-1486.070513324682,6817.518740660071,6394.2368022249,, 1. أ السلع والخدمات,,,,,,,,,,,,,,,,,,,,
1.A.a Goods,126613.45333333334,147891.38357186544,151533.3137881568,213178.264,106185.06719999999,154780.16000826668,246053.82293333331,248126.37333333335,224238.86186666667,185733.23400746664,46012.158933333325,57165.75990081066,99806.06822349335,170120.13333333333,122867.64111343998,49324.21333333334,137992.06453333335,237190.92975979732,130289.77776748534,92024.53744800529,81434.30657973333,, 1.أ.أ السلع,,1.A.a Goods,38947.471999999994,39440.948256880736,39037.24816636086,30465.715148623854,28297.466424242426,33786.09538837921,38406.12496636086,51043.62700917431,57695.84533333333,73341.77333333335,64614.12266666667,17526.522666666668,15419.466666666667,24134.69386666666,30300.186666666665,36330.72,36123.866669333336,36526.96000266668,36314.02666933333,45815.30666693333,55104.50666666667,61145.38666666667,63122.26666666667,66681.66293333333,70329.33333333333,61936.984000000004,56803.62933333334,59056.426666666666,52659.22666666667,49377.06666666666,60196.240000000005,62006.32853333334,57478.37333333332,52747.73333333332,46934.38067413333,28572.74666666668,12016.402666666661,18049.273600000004,11486.589333333332,4459.893333333327,2966.400183837333,13334.827640186666,18564.638926858668,22299.893149928,24875.55776861333,19965.362972666677,22400.90536677333,32564.24211544,34661.46666666667,42817.12,45951.52,46690.026666666665,34487.898343759996,30712.869017973342,27724.636875279994,29942.23687642666,19190.213333333333,1876.693333333335,13244.453333333333,15012.853333333336,21920.480000000003,28040.6032,38079.537333333334,49951.44400000001,59617.12368106667,71291.9410032,61581.92,44699.94507553066,36278.14288773868,32204.50935159733,32148.550639890662,29658.574888258667, 1.أ.أ السلع,,1.A.a Goods,28096.868153045343,27275.995448568006,20097.95619812798,16553.717648264006,21428.769921146668,15821.518094186655,23522.182407306664,20661.83615709333,, 1.أ.أ السلع,,,,,,,,,,,,,,,,,,,,
Credit,180571.73333333334,211023.46666666667,233174.13333333333,313480.5333333333,192307.2,251142.66667493334,364698.6496,388369.6,375900.9418666667,342456.88,203536.53333333333,183607.46666666667,221861.64119733337,294387.2,261617.16355173333,173864,276198.4,411213.6140176,320220.0142872,305776.96832773334,310958.75676026667,,دائــن,,Credit,52120.26666666667,55639.2,55306.4,47957.6,46653.066666666666,53885.333333333336,59449.333333333336,73186.4,79984.8,97894.93333333333,91073.86666666667,44526.933333333334,36163.46666666667,45952.26666666667,51784.53333333333,58406.933333333334,58162.40000266667,61172.26666933334,60386.133336000006,71421.86666693333,81308.53333333334,91369.06666666667,94009.06666666667,98011.98293333333,103144,98092.26666666666,92382.66666666667,94750.66666666667,90372,89824,97701.06666666667,98003.8752,94060.10666666666,93646.82666666666,87531.33333333333,67218.61333333334,51430.666666666664,58857.066666666666,49328,43920.8,37389.6,46924.26666666667,46794.4,52499.2,55306.3385296,50600.902667733346,52350.13333333333,63604.26666666667,65132.53333333333,74962.4,76918.66666666667,77373.6,66426.7404192,67368.26930186668,62903.12683013333,64919.02700053333,51116,31910.666666666668,42822.933333333334,48014.4,55478.666666666664,61917.333333333336,72964.53333333334,85837.86666666667,97897.5130144,114087.03433653334,106425.06666666667,92804,82532.67283013334,78745.13520426667,79959.824336,78982.3819168,دائــن,,Credit,78775.67657146667,78844.65686533334,73927.2335608,74229.40133013335,76628.83855039999,73154.07805466666,81069.95362986666,80105.88652533334,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,53958.28,63132.083094801215,81640.81954517654,100302.26933333332,86122.1328,96362.50666666667,118644.82666666668,140243.22666666665,151662.08000000002,156723.64599253333,157524.37440000003,126441.70676585598,122055.57297384,124267.06666666667,138749.52243829335,124539.78666666665,138206.33546666664,174022.6842578027,189930.23651971467,213752.43087972802,229524.45018053334,,مديـن,,Debit,13172.794666666667,16198.251743119265,16269.15183363914,17491.884851376144,18355.60024242424,20099.237944954126,21043.208366972474,22142.772990825688,22288.954666666672,24553.159999999996,26459.744,27000.410666666667,20744,21817.572800000005,21484.346666666668,22076.21333333333,22038.533333333333,24645.30666666666,24072.106666666674,25606.560000000005,26204.02666666667,30223.68,30886.8,31330.32,32814.666666666664,36155.282666666666,35579.03733333333,35694.24,37712.77333333333,40446.93333333334,37504.82666666666,35997.54666666666,36581.73333333333,40899.09333333334,40596.9526592,38645.86666666666,39414.264,40807.793066666665,37841.41066666667,39460.90666666667,34423.19981616267,33589.43902648,28229.761073141333,30199.306850072,30430.780760986672,30635.53969506667,29949.22796656,31040.024551226667,30471.066666666666,32145.280000000002,30967.14666666667,30683.57333333333,31938.842075440003,36655.40028389333,35178.489954853336,34976.79012410667,31925.786666666667,30033.97333333333,29578.48,33001.54666666666,33558.18666666666,33876.73013333333,34884.996,35886.42266666666,38280.38933333334,42795.09333333334,44843.146666666675,48104.05492446934,46254.52994239466,46540.625852669335,47811.27369610934,49323.807028541334,مديـن,,Debit,50678.80841842132,51568.661416765324,53829.277362672015,57675.683681869334,55200.06862925332,57332.55996048,57547.77122256,59444.05036824,,مديـن,,,,,,,,,,,,,,,,,,,,
1.A.a.1 General merchandise,127227.32,148531.11690519878,152483.98045482347,213859.07923200002,106763.69952000001,155415.77820693335,246825.00864026666,249055.406784,225247.09252266667,186768.4355413333,48438.989333333324,58423.58656747734,101253.75788359734,172541.5057099173,124144.87533711732,48415.528000000006,140213.55733333336,241330.71158412,135532.859780512,97683.90903920798,87290.16864918669,,1.أ.أ .1 البضائع العامة,,1.A.a.1 General merchandise,39147.471999999994,39734.28159021407,39168.44816636086,30480.915148623855,28474.799757575758,34081.29538837921,38671.4582996942,51256.42700917432,57843.79076266666,73506.57738666669,64793.837781333335,17714.873301333333,15560.025173333333,24283.037354666667,30444.779669333333,36475.85732266667,36268.28826000001,36690.021997333344,36474.29431733333,45983.17363226667,55275.313920266664,61343.25124266666,63323.21034666667,66883.23313066667,70543.25960533334,62177.334229333326,57043.77495466666,59291.03799466668,52914.37442133333,49650.22037333333,60445.27272533334,62237.22500266667,57714.85919999999,53017.92601599999,47204.27837866666,28831.371946666677,12639.951999999994,18466.576,12143.474666666667,5188.986666666662,3356.872183837334,13588.211640186666,18722.100260192,22756.402483261332,25506.406777927998,20312.766290122676,22558.366700106664,32876.21811544,35006.23608331733,43479.832,46867.44562659999,47187.992,34810.887677093335,31416.446943149334,27706.780875279994,30210.759841594663,19385.325333333334,1682.9386666666678,12528.186666666666,14819.077333333336,22449.64266666667,28559.674666666666,38657.4,50546.840000000004,59987.2250144,72438.19067231199,63065.58133333333,45839.71456407466,37020.42022107202,33638.488518352,33872.056152829326,31001.89488825867,1.أ.أ .1 البضائع العامة,,1.A.a.1 General merchandise,29850.822391642676,28943.566569333336,20834.268621743984,18055.251456488,22335.726479400004,17887.94438893333,24723.157783546663,22343.33999730666,,1.أ.أ .1 البضائع العامة,,,,,,,,,,,,,,,,,,,,
Credit,180394.93333333332,210863.46666666667,233069.33333333334,313350.8042666667,192190.272,251002.5451816,364514.5291733333,388165.9178666666,375685.0026666667,342225.38026666665,203231.2,182842.66666666666,221222.38582053332,293864.9556741333,260769.64312666666,171894.13333333333,275088.5333333333,410234.2392706667,318811.1294429333,304002.04681973334,307846.3462128,,دائــن,,Credit,52096.26666666667,55612.8,55269.6,47884.8,46630.4,53860.53333333333,59421.333333333336,73157.06666666667,79952.64533333333,97861.29386666667,91039.76853333334,44497.09653333333,36136.526933333334,45924.31573333334,51755.635200000004,58373.79413333334,58131.24704266667,61136.359469333336,60352.06186933334,71382.87680026666,81270.55477333332,91322.86293333332,93960.57813333333,97960.53333333334,103092.96533333333,98040.56853333332,92335.42506666666,94696.95893333334,90322.72533333332,89770.5632,97647.44746666666,97944.26666666666,94001.36426666666,93586.89173333332,87472.07146666666,67165.0528,51364.8,58775.46666666667,49268.53333333333,43822.4,37222.666666666664,46714.4,46605.333333333336,52300.26666666667,55157.805196266665,50448.58062426667,52161.066666666666,63454.933333333334,64979.074016800005,74851.73333333334,76746.68165733333,77287.46666666666,66281.1404192,67209.2748616,62631.92683013333,64647.30101573333,50889.6,31629.066666666666,41888.26666666667,47487.2,55183.73333333333,61592.53333333333,72743.73333333334,85568.53333333334,97644.44634773333,113805.96766986667,106233.6,92550.22525306667,82232.93949680001,78441.51861706666,79556.95607893333,78579.71525013333,دائــن,,Credit,78387.80154133333,78410.48995813333,73492.66375893333,73711.09156133333,76021.75052933332,72542.31296053334,80295.28488826666,78986.99783466666,,دائــن,,,,,,,,,,,,,,,,,,,,
Oil Exports,161568.26666666666,188216.26666666666,205315.46666666667,281029.3333333333,163064,215246.93333333332,317613.6,337449.06666666665,321888,284557.6,152909.86666666667,136194.4,170240.70405706667,231584.53333333333,200487.50098186667,119359.46666666666,202166.4,327006.94735093333,247385.8883994667,223378.87052666667,213727.47291653336,,الصادرات النفطية,,Oil Exports,46820,49842.13333333333,49596.8,41957.333333333336,40128.8,46928.8,52368.26666666667,65889.6,71943.46666666666,89477.33333333333,82546.13333333333,37062.4,29425.866666666665,38961.86666666667,44557.333333333336,50118.933333333334,49508.8,52195.46666666667,51868.26666666667,61674.4,70758.93333333333,79818.13333333333,81886.93333333333,85149.6,90385.33333333333,85167.73333333334,80572.26666666666,81323.73333333334,78045.33333333333,76452,84292.53333333334,83098.13333333333,79369.06666666667,78657.33333333333,72709.86666666667,53821.333333333336,38695.73333333333,46021.6,37010.933333333334,31181.6,25908.533333333333,34749.333333333336,35569.066666666666,39967.46666666667,43165.80635573333,38498.89770133334,39841.86666666667,48734.13333333333,50039.2,58756.53333333333,61584.26666666667,61204.53333333333,50626.05224266667,52219.098248266666,48001.265422133336,49641.0850688,38137.066666666666,20398.133333333335,28416.266666666666,32408,39437.333333333336,44374.666666666664,54454.4,63900,76937.24634773334,91098.23433653334,85364,73607.46666666666,64500.28839946667,60883.46666666667,61745.333333333336,60256.8,الصادرات النفطية,,Oil Exports,59727.2977688,58882.3140952,52535.50373253333,52233.754930133335,54682.75581653333,49591.54184880001,55417.183415199994,54035.991836,,الصادرات النفطية,,,,,,,,,,,,,,,,,,,,
Non Oil Exports,18826.666666666668,22647.2,27753.866666666665,32321.470933333334,29126.272,35755.61184826667,46900.92917333333,50716.851200000005,53797.00266666667,57667.78026666667,50321.333333333336,46648.26666666667,50981.681763466666,62280.4223408,60282.1421448,52534.666666666664,72922.13333333333,83227.29191973334,71425.24104346667,80623.17629306667,94118.87329626667,,الصادرات الأخرى,,Non Oil Exports,5276.266666666666,5770.666666666667,5672.8,5927.466666666666,6501.6,6931.733333333334,7053.066666666667,7267.466666666666,8009.178666666666,8383.960533333333,8493.6352,7434.696533333334,6710.660266666667,6962.449066666667,7198.301866666667,8254.8608,8622.447042666667,8940.892802666667,8483.795202666666,9708.476800266666,10511.621439999999,11504.729599999999,12073.6448,12810.933333333332,12707.632000000001,12872.8352,11763.158399999998,13373.2256,12277.392,13318.5632,13354.914133333334,14846.133333333333,14632.2976,14929.5584,14762.2048,13343.719466666666,12669.066666666668,12753.866666666667,12257.6,12640.8,11314.133333333333,11965.066666666668,11036.266666666666,12332.8,11991.998840533333,11949.682922933334,12319.2,14720.8,14939.8740168,16095.2,15162.414990666666,16082.933333333332,15655.088176533334,14990.176613333335,14630.661407999996,15006.215946933335,12752.533333333333,11230.933333333332,13472,15079.2,15746.4,17217.866666666665,18289.333333333332,21668.533333333333,20707.2,22707.733333333334,20869.6,18942.7585864,17732.651097333335,17558.0519504,17811.6227456,18322.91525013333,الصادرات الأخرى,,Non Oil Exports,18660.50377253333,19528.175862933334,20957.1600264,21477.3366312,21338.994712800002,22950.77111173333,24878.10147306667,24951.005998666667,,الصادرات الأخرى,,,,,,,,,,,,,,,,,,,,
