,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3:  International Investment Position,,,,,,,,,,,,,,,,,,,,,جدول 3: وضع الاستثمار الدولي,,Contd.2 Table 3:  International Investment Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 2 جدول 2: وضع الاستثمار الدولي,,Contd.2 Table 3: International Investment Position,,,,,,,,,,تابع 2 جدول 3: وضع الاستثمار الدولي
(Million ﷼),,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,
,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,
I Assets,1857731.95,2365560.15,2384914.5875,2653484.5575,3089529.405,3509626.3,3854670.1750000003,4057027.709,3731100.92279783,3558160.8935211925,3742778.4141262486,3998834.433066682,4369996.661284744,4303552.613406127,4680979.973450177,5084942.702913715,5362114.700423754,5719176.891165342,6025509.706502124,,I   الأصول,,I Assets,3152514.5625,3270400.33125,3389444.3375,3509626.3,3601059.5,3676238.9375,3782013.8249999997,3854670.1750000003,3936355.9740000004,3994106.1629999997,4069014.5224469686,4057027.709,3981815.3957246505,3941249.8885402,3849538.63391421,3731100.92279783,3684134.88888551,3654728.76261735,3606238.81062649,3558160.8935211925,3634793.934984305,3653297.1353544113,3676867.352518132,3742778.4141262486,3732064.544729868,3857731.3365010386,3931707.5855835862,3998834.433066682,4121250.033969585,4247285.133272818,4295808.715608126,4369996.661284744,4268623.675643004,4253964.416552415,4234162.217549176,4303552.613406127,4354035.900580272,4478880.89794492,4586385.035028539,4680979.973450177,4839678.590995872,4944886.175094897,5023018.763729297,5084942.702913715,5137801.326800922,5238128.872181236,5246092.419508294,5362114.700423754,I   الأصول,,I Assets,5596647.143381791,5654397.44723843,5702393.135722182,5719176.891165342,5871401.032857976,5904080.817397309,5996914.795919789,6025509.706502124,,I   الأصول
1 Direct investment abroad,63928,76665,84829.5,99480,112342.195,128848,147385.35,214803.3125,236701.91874999998,304519.70362499997,346638.600607415,396504.906642604,468847.382579101,489139.112505233,580024.2165878013,697105.9086183547,768874.5285396454,871327.1028327332,972599.9930373162,,      1 . الاستثمار المباشر في الخارج,,1 Direct investment abroad,116078.625,120931,124988,128848,132710.0625,137595.275,142515.5875,147385.35,151459.75,155563.3625,209241.225,214803.3125,221604.15624999997,226916.33874999997,232142.34874999998,236701.91874999998,278212.568125,295093.68925,300675.19675,304519.70362499997,337994.065026414,348924.491629039,371768.315064485,346638.600607415,342122.239089501,352842.966071006,355180.557583506,396504.906642604,429238.036782175,441208.512522862,449180.991524475,468847.382579101,471009.850164244,469425.385850572,475416.43157086,489139.112505233,531102.1969220497,555279.5892535562,561975.8011802827,580024.2165878013,658076.113972038,695704.1318464053,672563.3229231021,697105.9086183547,721544.8189996403,743308.5875209533,752785.4983590032,768874.5285396454,      1 . الاستثمار المباشر في الخارج,,1 Direct investment abroad,781734.5140121273,802323.5754312327,821130.8317589526,871327.1028327332,890950.3524335203,901372.7145367382,953661.9595675291,972599.9930373162,,      1 . الاستثمار المباشر في الخارج
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Portfolio investment,393551.2,369721.75,455763.3,548130.25,593240.015,628243.5,668169.35,746214.3195,765603.1487499999,763393.80933698,882779.2039270701,943617.445661916,1087058.411052496,1264308.74382877,1451539.7417983017,1462220.2617550173,1713519.6331507382,1882025.1015869267,1902229.5084531875,,      2 . استثمارات الحافظة,,2 Portfolio investment,613948.125,584412.5,615716.125,628243.5,633456.0625,650175.525,668594.3375,668169.35,682169.6769999999,699113.3814999999,714951.7609999999,746214.3195,782259.84525,792806.0177499999,755430.31675,765603.1487499999,747548.98754279,749328.9415683099,753918.6604558199,763393.80933698,812631.40992573,829419.8438234101,853851.0222378899,882779.2039270701,898852.940762453,904221.056892866,957194.807894926,943617.445661916,1019230.642140292,1041535.183079706,1056191.553341626,1087058.411052496,1096186.837015678,1178387.5844698572,1174755.033532073,1264308.74382877,1329109.6299734255,1377359.3464452256,1394866.6792068712,1451539.7417983017,1444805.5606747565,1436733.8140921593,1383534.5166551142,1462220.2617550173,1594544.8248626257,1618611.007884551,1611946.2798974807,1713519.6331507382,      2 . استثمارات الحافظة,,2 Portfolio investment,1747516.6952535973,1794368.042464315,1870229.071987758,1882025.1015869267,1895109.6567328558,1871152.9207794107,1940860.850254501,1902229.5084531875,,      2 . استثمارات الحافظة
2.1 Equity and investment fund shares ,197472.25,188237.5,220529.05,294661.375,305640.015,345666,371093.35,416348.1245,413695.73274999997,426791.01107860997,600605.89726591,668956.453111176,804113.998931626,1025000.17945066,1230319.8865296617,1253399.2531738074,1469236.5884480453,1553023.4890497534,1624355.1035342575,,          2 . 1 حقوق الملكية وأسهم صناديق الاستثمار,,2.1 Equity and investment fund shares ,321834.75,314351.25,332619.6,345666,357816.0625,363691.275,376101.0875,371093.35,378484.077,403238.0045,403198.679,416348.1245,426438.92224999995,434156.0357499999,406096.29675,413695.73274999997,405728.96895664,419005.73611783,421848.29693352996,426791.01107860997,530043.63074837,539924.75573265,563327.13662922,600605.89726591,630605.300295043,636378.806994356,678616.654332846,668956.453111176,747631.212249208,774047.082347236,775362.142247966,804113.998931626,800366.179015678,888490.122905057,910795.173532073,1025000.17945066,1085238.0539203957,1125905.6804226257,1145361.3777369212,1230319.8865296617,1212785.9286336056,1209080.4521362192,1167670.3284987842,1253399.2531738074,1370990.175669893,1382706.4882199583,1379928.2708277379,1469236.5884480453,          2 . 1 حقوق الملكية وأسهم صناديق الاستثمار,,2.1 Equity and investment fund shares ,1461052.8987909246,1493984.1344192878,1557044.5312754496,1553023.4890497534,1589082.916258806,1590587.3914847907,1666327.471922631,1624355.1035342575,,          2 . 1 حقوق الملكية وأسهم صناديق الاستثمار
2.2 Debt securities,196078.95,181484.25,235234.25,253468.875,287600,282577.5,297076,329866.195,351907.41599999997,336602.79825837,282173.30666116,274660.99255074,282944.41212087,239308.56437811,221219.85526864,208821.00858121002,244283.04470269283,329001.6125371732,277874.40491893,,          2 . 2 سندات الدين,,2.2 Debt securities,292113.375,270061.25,283096.525,282577.5,275640,286484.25,292493.25,297076,303685.6,295875.377,311753.082,329866.195,355820.923,358649.982,349334.02,351907.41599999997,341820.01858615,330323.20545048,332070.36352229,336602.79825837,282587.77917736,289495.08809076,290523.88560867,282173.30666116,268247.64046741,267842.24989851,278578.15356208,274660.99255074,271599.429891084,267488.10073247,280829.41109366,282944.41212087,295820.658,289897.4615648,263959.86,239308.56437811,243871.57605302997,251453.66602260002,249505.30146995006,221219.85526864,232019.632041151,227653.36195593997,215864.18815633,208821.00858121002,223554.64919273282,235904.5196645928,232018.00906974284,244283.04470269283,          2 . 2 سندات الدين,,2.2 Debt securities,286463.7964626728,300383.90804502723,313184.54071230826,329001.6125371732,306026.74047405,280565.52929462,274533.37833187,277874.40491893,,          2 . 2 سندات الدين
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Other investment,254106.75,259183.15,306415.78750000003,336612.3075,343892.195,290381.8,317647.475,349685.07700000005,417228.4024999999,481008.03657540283,651772.950866653,796503.113035152,940680.311897099,848895.8352338871,941777.1967765145,1201176.5484509498,1241315.6265544514,1326255.5114655325,1424822.1329306434,,      3 . استثمارات أخرى,,3 Other investment,286101.8125,314428.83125,318703.21249999997,290381.8,315569.375,297695.1375,332932.9,317647.475,351470.547,355556.419,347880.38300000003,349685.07700000005,360481.3465,388375.9745,407436.1735,417228.4024999999,456807.81685433,471675.55284063,473436.75604228996,481008.03657540283,576703.962689051,592687.334468802,631667.2352162771,651772.950866653,640895.435614744,700847.437099467,717301.461531324,796503.113035152,799501.524919668,838103.03731554,913231.533417593,940680.311897099,926267.318769662,927094.1343786641,905488.1335864231,848895.8352338871,810274.888244367,866300.4777653144,883949.0310448699,941777.1967765145,1044197.4839647321,1062341.035031565,1210673.8996825481,1201176.5484509498,1176665.9560242214,1214190.8846057632,1233277.0623530508,1241315.6265544514,      3 . استثمارات أخرى,,3 Other investment,1360007.6172540311,1303537.898988681,1297386.51288761,1326255.5114655325,1381744.0184132098,1415254.733134807,1412961.3770820724,1424822.1329306434,,      3 . استثمارات أخرى
3.1 Trade Credit,,,,,,,,,,39079.875,48795,49457.625,48475.875,42521.625,39442.125,80955.875,103157.49428347999,111722.52895410499,142292.91165434837,,          3 .1 الائتمان التجاري,,3.1 Trade Credit,,,,,,,,,,,,,,,,,38828.175,38419.2,33479.7375,39079.875,47828.25,44701.5,47881.875,48795,50208.75,58718.625,61399.125,49457.625,53603.625,49915.875,55671.375,48475.875,52303.5,49293,45432.75,42521.625,40023.375,44805,48150.75,39442.125,77827.875,85897.125,75400.875,80955.875,87125.875,91530.81560716,101877.85442933999,103157.49428347999,          3 .1 الائتمان التجاري,,3.1 Trade Credit,107502.625,102278.19992606249,94423.07803706499,111722.52895410499,125861.66705044499,134347.87389640816,138053.23937334956,142292.91165434837,,          3 .1 الائتمان التجاري
