,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 7a: Monetary Survey - Assets,,,,,,,,جدول 7a: الـمـســـــــح الـنـقـــــــــدي - المــوجـــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,موجودات أجنبية (صافي),,,مطلوبات ,مطلوبات ,مطلوبات المصارف,
,,Foreign Assets (Net),,,المصارف ,المصارف,من مؤسسات,إجمالي الموجودات
,,البنك المركزي,المصارف التجارية,المجموع,من القطاع الخاص,من الحكومة*,عامة غير مالية,
End of Period,,,,,Bank Claims,Bank,Bank Claims on,Total Assets
,,SAMA,Commercial Banks,Total,on Private,Claims on,Nonfinancial Public,
,,1,2,1+2,Sector,Government*,Sector Enterprises,
1996,,188927,67518.057,256445.057,123546.66799999999,56607.25199999999,16703.244,453302.22099999996
1997,,213182,53470.724,266652.724,133683.97,75927.05900000001,20860.733,497124.48600000003
1998,,170036,42838,212874,160654.84,85807.38500000001,23599.040999999997,482935.26599999995
1999,,141834,40334.34,182168.34,162189.81399999998,99978.949,14347.381,458684.484
2000,,178261,36760.522,215021.522,172238.059,110062.408,12438.802,509760.791
2001,,181304,39749.991,221053.991,187064.121,121843.239,10816.963,540778.314
2002,,157103,52490.969,209593.969,205829.476,131555.697,11960.023,558939.165
2003,,223155,41018.507,264173.507,228486.25,150547.573,25844.2,669051.53
2004,,324091,47050.574,371141.574,313927.879,146389.893,29137.585,860596.931
2005,,563557,26390.114,589947.114,435925.771,127091.087,31672.425,1184636.397
2006,,829185,70597.287,899782.287,476019.507,114121.538,34964.62,1524887.952
2007,,1128466,42499.382,1170965.382,577881.935,127430.685,37434.47,1913712.472
2008,,1642312,41520.48,1683832.48,734557.063,90696.401,32065.449,2541151.393
2009,,1520042,111235.373,1631277.373,734236.888,75690.74699999999,28135.767,2469340.775
2010,,1651522.84228548,98420.834,1749943.67628548,775755.731,61915.302999999985,32284.577,2619899.28728548
2011,,2007087.47650099,139890.145,2146977.62150099,863225.585,47711.043000000005,31951.972,3089866.22150099
2012,,2428571.78114285,133998.761,2562570.54214285,1007515.025,42616.697000000015,39705.172,3652407.43614285
2013,,2687792.14774855,137703.126,2825495.27374855,1133179.94,49753.27099999998,44353.858,4052782.34274855
2014,,2715989.28126095,152606.848,2868596.12926095,1270481.028,53259.49899999998,46087.862,4238424.51826095
2015-12-31T00:00:00,,2283381.6377633,222627.208,2506008.8457633,1384858.395,86157.633,38986.154,4016011.0277633
2016-12-31T00:00:00,,1982347.67438205,137730.425538945,2120078.099921,1417920.0913399097,178416.26798044,55335.8701475384,3771750.32938888
2017-01-01T00:00:00,,1833354.55814836,142937.932578108,1976292.49072647,1405210.3730772,254545.17204385,53822.8998363387,3689870.93568386
2018-12-31T00:00:00,,1835865.64231484,120898.89392802,1956764.53624286,1445252.02058274,305153.968,53765.48,3760936.0048256
2019-01-01T00:00:00,,1852625.79381764,70474.53321316,1923100.3270308,1546518.91514744,383672.269,61646.01,3914937.52117824
2020-01-02T00:00:00,,1684317.1185417802,67998.18325004002,1752315.3017918202,1762440.046910301,438369.73899999994,79157.583,4032282.6707021217
2021-01-01T00:00:00,,1643108.70759225,29845.551375309966,1672954.25896756,2034085.1672999999,480749.659,95072.695,4282861.78026756
2022-12-31T00:00:00,,1651737.7034129698,84360.03963433002,1736097.7430472998,2289580.61282591,510298.34956699994,127861.622412,4663838.32785221
2023-12-31T00:00:00,,1564176.81090822,42877.52420015249,1607054.3351083724,2518786.4667753,540315.3102610001,146702.697123,4812858.809267673
2024-12-31T00:00:00,,1554543.06491421,-34230.874416549574,1520312.1904976605,2855346.62287369,591897.562,203096.884,5170653.25937135
2025-12-31T00:00:00,,1637194.44712564,-204788.83918597642,1432405.6079396636,3147419.9441207866,653264.121,256596.136,5489685.809060451
,,,,,,,,
Q1,2000,144624,41260.379,185884.379,154789.184,98868.647,17163.351,456705.561
Q2,2000,141695,40901.404,182596.404,160214.275,103972.297,14945.33,461728.306
Q3,2000,155790,35762.05,191552.05,164936.994,112158.215,14329.943,482977.202
Q4,2000,178261,36760.522,215021.522,172238.059,110062.408,12438.802,509760.791
Q1,2001,183274,43691.669,226965.669,172518.761,110428.346,11977.711,521890.487
Q2,2001,182009,43827.216,225836.216,178532.05,116546.916,11469.5,532384.682
Q3,2001,185591,42625.191,228216.191,182734.625,121972.162,10999.146,543922.124
Q4,2001,181304,39749.991,221053.991,187064.121,121843.239,10816.963,540778.314
Q1,2002,164075.8,43446.266,207522.066,190918.927,119090.961,10938.786,528470.74
