,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,
Table 7b: Monetary Survey - Liabilities,,,,,,,,,,,جدول 7b: الــمـســـــــح الـنـقــــــــــدي - المــطــلـوبــات 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية الفترة,,Money                النقود,,,Quasi-Money  شبه النقود,,,المجموع,,,
,,النقد المتداول,الودائع,المجموع,الودائع  الزمنية,الودائع الأخرى,المجموع,,ودائع,بنود أخرى,إجمالي
,,خارج المصارف,تحت الطلب,,والإدخارية,*شبه النقدية,,Total,حكومية**,(صافي),المطلوبات
End of Period,,Currency,Demand,Total,Time & Savings,Other Quasi-Money ,Total,,Government,Other,Total
,,Outside Banks,Deposits,,Deposits,Deposits*,,,Deposits**,Items (Net),Liabilities
,,1,2,3 =1+2, 4 , 5 ,6 =4+5,3+6,,,
1996,,43037.634999999995,89890.22099999999,132927.85599999997,71080.751,54313.952999999994,125394.704,258322.55999999997,49270,145709.228,453302.22099999996
1997,,45823.203,95360.545,141183.748,77165.538,54199.523,131365.061,272548.809,52777,171799.13,497124.48600000003
1998,,45019.049000000006,95253.268,140272.317,83436.098,59547.916,142984.014,283256.331,49206,150473.16,482935.26599999995
1999,,55060.284999999996,101604.895,156665.18,85341.41500000001,63439.316999999995,148780.73200000002,305445.912,30995,122243.414,458684.484
2000,,51019.457,114480.931,165500.388,90832.006,62656.915,153488.921,318989.309,52003,138768.482,509760.791
2001,,49203.422999999995,130192.471,179395.894,91684.591,68902.386,160586.977,339982.87100000004,52155,148640.443,540778.314
2002,,52329.208999999995,150009.862,202339.071,108028.195,79841.297,187869.49200000003,390208.563,51980,116750.602,558939.165
2003,,55444.657999999996,167577.202,223021.86,113381.881,80703.041,194084.922,417106.78199999995,57124,194820.748,669051.53
2004,,60133.143000000004,211170.238,271303.381,136672.88,87691.664,224364.544,495667.925,98786,266143.006,860596.931
2005,,64288.038,219251.036,283539.074,165266.397,104542.462,269808.859,553347.933,241287,390001.464,1184636.397
2006,,69324.101,243417.691,312741.792,226026.745,121499.516,347526.261,660268.0530000001,338926,525693.899,1524887.952
2007,,72191.67300000001,311365.062,383556.735,283059.125,123139.628,406198.753,789755.4879999999,517599,606357.984,1913712.472
2008,,83006.39199999999,342487.682,425494.07399999996,367623.877,136006.62,503630.497,929124.571,1057335,554691.822,2541151.393
2009,,88395.351,433162.212,521557.56299999997,323377.029,184009.189,507386.218,1028943.781,924012,516384.994,2469340.775
2010,,95519.84768499,530072.227,625592.07468499,298282.546,156495.171,454777.71699999995,1080369.7916849898,993543.02478303,545986.47081746,2619899.28728548
2011,,119901.52640616,642093.67,761995.19640616,316400.646,161149.603,477550.249,1239545.44540616,1187984.36840415,662336.40769068,3089866.22150099
