,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
2000,,756,69830,13595,54574,58383,36302.487021559995,233440.48702156
2001,,756,71681,19733,35809,73557,22936.74835234997,224472.74835234997
2002,,756,72731,16266,40255,43716,24216.019778780028,197940.01977878003
2003,,756,80204,21259,45776,97035,27669.61883603997,272699.61883603997
2004,,756,82652,18802,48398,197338,26930.73781652999,374876.73781653
2005,,756,88995,18262,113954,369973,27464.91597639001,619404.91597639
2006,,756,93563,12777,123346,625667,28216.835180500057,884325.8351805
2007,,756,105298,23842,246792,790559,29570.394541870104,1196817.39454187
2008,,1624,119442,27053,379488,1154247,28141.315057710046,1709995.31505771
2009,,1624,121503,23876,335673,1071542,16436.026524130022,1570654.02652413
2010,,1624,134405.22796039,25059.8452754,343887.58827261,1181915.65675566,18496.74918743,1705389.06745149
2011,,1624,167409.78616039,29187.73275423,414007.49823169,1427819.97103618,17816.45133504,2057865.4395175297
2012,,1624,184603.32616039002,33415.40887198,576415.15818149,1670019.91661823,18986.14655330999,2485063.956385399
2013,,1623.5026203900002,193060.19874000002,28295.627182739998,546628.92965753,1952837.17337714,16282.999647039996,2738728.4312248398
2014,,1623.5026203900002,214508.73074,35240.14124863,510972.14571678004,1998579.8976090401,31184.90779294,2792109.32572778
2015-12-31T00:00:00,,1623.5026203900002,235588.57890000002,39299.98904151,552359.60905386,1505023.25381548,39487.08798097,2373382.02141221
2016-12-31T00:00:00,,1623.5026203900002,232881.610766,34515.65518544,401143.71542823,1365189.20665399,41516.85962116,2076870.55027521
2017-01-01T00:00:00,,1623.5026203900002,227564.688477,25831.23752851,377965.89758408,1244668.98230174,26008.56678066,1903662.8752923799
2018-12-31T00:00:00,,1623.5026203900002,241825.626337,32583.75605311,405571.77334437,1204035.20514875,14224.29759027,1899864.1610938902
2019-01-01T00:00:00,,1623.5024758099999,259843.37274557998,42987.158672059995,399832.17317684996,1203575.56694628,4944.751752949996,1912806.52576953
