,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
2000,,56989.86123043005,13595,53305.781966580005,11212.52747501,5295.5544131999995,23606.787398700002,69434.97453763998,233440.48702156002
2001,,52704.02820391997,19733,51528.10491171,12716.31987523,514.72536941,16684.855486020002,70591.71450606,224472.74835234997
2002,,57220.59625289004,16265.9,55708.731185900004,14281,369.97500894,25247,28846.81733105001,197940.01977878003
2003,,59701.70099763997,21259,57858.518110259996,15472.43733433,616.01670402,16101.19608796,101690.74960182999,272699.61883603997
2004,,64606.77059764002,18802,103820.9669586,19099.97153536,5053.38389947,10930.321810790001,152563.32301467,374876.73781653005
2005,,71489.22519764001,18262,244519.13477682997,21272.092089349997,10120.91528576,27997.21618348,225744.33244333,619404.91597639
2006,,81542.78279764007,12777,342109.99074533995,24403.1234224,14147.49819145,110048.74132,299296.69870366994,884325.8351805
2007,,82211.89399764012,23842,514138.67859029,36277.049719970004,14939.02011885,316791.93751806,208616.81459705997,1196817.39454187
2008,,94013.41816038988,27053,1052336.3533940502,44698.16652248,12488.034584870002,329807.40219074,149598.94020518,1709995.3150577103
2009,,99252.0743328298,23876,933912.14827186,50715.33315326,10299.51107782,326941,125657.95968836005,1570654.02652413
2010,,110969.38268499,25059.8452754,1008251.2125913299,54976.4358592,10309.63070318,367768.75933281,128053.80100358001,1705389.0674514903
2011,,139846.05340616,29187.73275423,1203477.63829994,63511.352629019995,3773.77892727,379202.27188796,238866.61161295,2057865.43951753
2012,,152811.91728840998,33415.40887198,1536820.84367977,70790.88478802,4090.61981726,441209.782309,245924.60453521,2485064.06128965
2013,,166388.07417765,28295.627182739998,1650146.20876303,81901.44526349001,6357.65664651,459932.31880675,345707.10038466,2738728.43122483
2014,,180892.09211176,35240.14124863,1561217.24635911,92558.21105433001,9694.99542526,427815.08896157,484691.5505671203,2792109.3257277803
2015-12-31T00:00:00,,197912.09247888,39299.98904151,1165377.9496157002,98116.71562322999,11213.30662643,182947.31600805,678514.6520183899,2373382.02141219
2016-12-31T00:00:00,,199989.45820095,34515.65518544,885094.23159977,97838.65477041001,18490.361086560002,164754.96599933,676187.22343277,2076870.5502752298
2017-01-01T00:00:00,,203356.95356887998,25831.23752851,729723.25167184,97534.49527582001,18468.51283485,138786,689962.4244124799,1903662.8752923799
2018-01-01T00:00:00,,210865.37290428,32583.75605311,679218.0842021,99942.62424247,17190.465135669998,116326,743737.85855621,1899864.1610938397
2019-01-01T00:00:00,,218479.70989933,42987.16532206,626170.1242084199,105469.77303161999,12248.82152688,124007,783443.93178122,1912806.5257695303
2020-01-01T00:00:00,,233667.98094685999,23276.44998953,574017.79225741,118539.02029291,8348.67796813,189541,699403.72466114,1846794.6461159799
2021-01-02T00:00:00,,227497.13381994,33815.94189745,575309.23499696,128334.80563762,6896.64293771,92182.25446222001,784670.93398097,1848706.9477328698
2022-01-02T00:00:00,,222448.96383092002,28738.52839147,637533.9805159301,135861.80628237998,5348.90234452,68294.77720328,835560.31307521,1933787.2716437099
2023-01-02T00:00:00,,234754.67687044002,21671.81261635,484937.89787183,142041.652737,6271.34595195,70304.80414224,848249.1236828801,1808231.3138726905
2024-01-02T00:00:00,,250425.60427026,22488.71278953,464055.25266758003,155343.54783463,7625.24588883,82857.84099338,898490.34145841,1881286.5459026198
2025-01-03T00:00:00,,264971.19719047,13556.64323752,431825.40235462005,166515.84040265996,7902.653142939999,71800.40054336001,960203.78168786,1916775.91855943
,,,,,,,,,
Q1,2000,51162.03986647999,26951,46082.8959615,10827.92274799,5567,22276,66237.91593056,229104.77450653
Q2,2000,52102.756601299974,20719,41891.51850693,11213.99259107,5563.2959949,5500,51146.66360664,188137.22730083996
Q3,2000,49546.83038423996,20839,47761.790942039996,11181.9571559,5562,21563.6756379,63131.26978025,219586.52390032998
Q4,2000,56989.86123043005,13595,53305.781966580005,11212.52747501,5295.5544131999995,23606.787398700002,69434.97453763998,233440.48702156002
