,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 9: Reserve Assets,,,,,,,جدول 9: الأصول الإحتياطية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,الذهب النقدي,حقوق السحب,وضع الإحتياطي لدى ,نقد أجنبي ,إستثمارات في أوراق,إجمالي الأصول,
,,,الخاصة, صندوق النقد الدولي,وودائع في الخارج,مالية في الخارج,الإحتياطية,
End of Period,,Monetary,SDR,Reserve Position,Foreign Currency ,Investment in Foreign,Total Reserves ,
,,Gold,, in the IMF,and Deposits Abroad,Securities,Assets,
2001,,756,906.0970156030123,9592.897214674123,106583.90298439699,73557,191395.89721467413,
2002,,756,1243.401552951,13364.5105353576,111742.598447049,43716,170822.51053535758,
2003,,756,1614.6187870536373,16977.851614886025,124365.38121294636,97035,240748.85161488602,
2004,,756,1945.5889490259751,13121.349123330338,129104.41105097403,197338,342265.3491233303,
2005,,756,2062.5,7147.5,200886.5,369973,580825.5,
2006,,756,2400,3420,214509,625667,846752,
2007,,756,2703.75,2741.25,349386.25,790559,1146146.25,
2008,,1624,2756.25,5190,496172.75,1154247,1659990,
2009,,1624,40980,7564,416196,1071542,1537906,
2010,,1624,39921.975000000006,7430.3025,438370.025,1181916,1669262.3025,
2011,,1624,38600.2875,18233.291250000002,556608.9,1424988.8,2040055.27875,
2012,,1624,36973.725,21110.7075,737281.7,1665161.9,2462152.0324999997,
2013,,1623.5026203900002,36172.320139725,19353.839510775,716613.68908723,1947704.4963771398,2721467.8477352597,
2014,,1623.5026203900002,34044.6,14703.3,702295.70742678,1993656.9458590401,2746324.05590621,
2015-12-31T00:00:00,,1623.5026203900002,33766.73,11230.16,763905.5706119599,1501041.48956548,2311567.45279783,
2016-12-31T00:00:00,,1623.5026203900002,27600.59,7276.93,613767.9719594299,1358970.34940399,2009239.34398381,
2017-01-01T00:00:00,,1623.50262039,29312.72,5775.76,585222.22503598,1239653.45106874,1861587.65872511,
2018-01-02T00:00:00,,1623.50262039,30333.3881,6189.99,625756.83080877,1198305.25379785,1862208.96532701,
2019-01-01T00:00:00,,1623.50247581,31437.8618264398,9429.72095727807,637185.24429983,1193734.22619669,1873410.55575605,
2020-01-01T00:00:00,,1623.50247581,31509.6243793474,13656.9968191304,545431.8529631,1108986.94520085,1701208.92183824,
2021-01-02T00:00:00,,1623.54231183,80782.5669931112,14618.9336234076,494048.76664738,1116565.04854785,1707638.81828756,
