,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Riyal - SDR  Exchange Rate ,,سـعــر الـصـرف للريال وحقوق السحب الخاصة ,1,,
,,,,,,
2a,Exchange Rates of Some Foreign Currencies Against Saudi Riyal (Period Average),,سعـر صرف بعض العـملات الأجـنبـية مقابل الريال السـعـودي - متوسط الفترة,2a,,
,,,,,,
2b,Exchange Rates of Some Foreign Currencies Against Saudi Riyal (End of Period) ,,سعـر صرف بعض العـملات الأجـنبـية مقابل الريال السـعـودي - نهاية الفترة,2b,,
,,,,,,
3a,Exchange Rates of Saudi Riyal Against Some Foreign Currencies (Period Average) ,,سعـر صرف الريال السعـودي مقابل  بعض العـملات الأجـنبـيــة - متوسط الفترة,3a,,
,,,,,,
3b,Exchange Rates of Saudi Riyal Against Some Foreign Currencies  (End of Period) ,,سعـر صرف الريال السعـودي مقابل  بعض العـملات الأجـنبـيــة - نهاية الفترة,3b,,
,,,,,,
4a," G.C.C. Currencies Per SRL, SDR And US$ - Period Average",,سعر تعادل عملات دول مجلس التعاون الخليجي لكل ريال سعودي,4a,,
,,,وحدة حقوق السحب الخاصة، والدولار الأمريكي – متوسط الفترة,,,
,,,,,,
4b," G.C.C. Currencies Per SRL, SDR And US$ - End Of Period",,سعر تعادل عملات دول مجلس التعاون الخليجي لكل ريال سعودي,4b,,
,,, وحدة حقوق السحب الخاصة، والدولار الأمريكي – نهاية الفترة,,,
,,,,,,
5,Interest Rate Differentials: Saudi Riyal &  U.S Dollar Deposits,,فروقات أسعار الفائدة : ودائع الريال السعودي والدولار الأمريكي ,5,,
,,,,,,
6,Monetary Indicators: (Interest Rates),,  مؤشرات نقـدية: (أسعـار الفائـدة ),6,,
