,,,,
,,,,
,,,,
,,,,
,Section (1):,,القسم الأول:‏,
,Monetary and Financial Statistics,,الإحصاءات النقدية والمالية,
,,,,
,Section (2):,,القسم الثاني:,
,Finance Companies ,,شركات التمويل,
,,,,
,Section (3):,,القسم الثالث:,
,Insurance,,التأمين,
,,,,
,Section (4):,,القسم الرابع:,
,Government Specialized Credit Institutions,,مؤسسات الإقراض المتخصصة الحكومية,
,,,,
,Section (5):,,القسم الخامس:,
,Money Market & Exchange Rate Statistics,,إحصاءات أسعار الصرف وأسواق المال,
,,,,
,Section (6):,,القسم السادس:,
,Investment Funds,,صناديق الاستثمار,
,,,,
,Section (7):,,القسم السابع:,
,External Sector,,القطاع الخارجي,
,,,,
,Section (8):,,القسم الثامن:,
,Price Indices,,الأرقام القياسية للأسعار,
